case_key,case_id,case_name,guide_id,guide_title,snapshots_count,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,citation_variants_count
apps:46386/10,46386/10,Hallier and Others v. France (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:40861/22,40861/22,Hanovs v. Latvia,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:19511/16,19511/16,Honner v. France,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:37359/09,37359/09,Hämäläinen v. Finland [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:25680/94,25680/94,I. v. the United Kingdom [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:2035/04,2035/04,I.I.N. v. the Netherlands (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:21417/17,21417/17,I.K. v. Switzerland (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:73235/12,73235/12,Identoba and Others v. Georgia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:59166/12,59166/12,J.K. and Others v. Sweden [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:37060/06,37060/06,J.M. v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:44898/10,44898/10,Jeronovičs v. Latvia [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:4982/07,4982/07,Kaos GL v. Turkey,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:40016/98,40016/98,Karner v. Austria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:18179/17,18179/17,Karter v. Ukraine,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:33421/16,33421/16,Klimova and Others v. Russia*,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:30078/06,30078/06,Konstantin Markin v. Russia [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:13102/02,13102/02,Kozak v. Poland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:39392/98|39829/98,39392/98|39829/98,L. and v. v. Austria,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:27527/03,27527/03,L. v. Lithuania,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:53335/08,53335/08,Lambdaistanbul LGBTI - Association de solidarité c. Turquie (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:28834/19,28834/19,"Lapunov v. Russia, no.28834/19;",0a61f8f7ceb0,Rights of LGBTI persons,2,20240613074526,20250612193940,1
